objectid,country,name,company,group_comp,subgroup,groupid,area_ha
8087,IDN,PT. MEGA NUSA INTI SAWIT 3,PT. MEGA NUSA INTI SAWIT,Sinar Mas,,68,5917
8088,IDN,PT. MEGA NUSA INTI SAWIT 4,PT. MEGA NUSA INTI SAWIT,Sinar Mas,,68,0
8089,IDN,KEBUN SWADAYA 1,KEBUN SWADAYA,No group,,99,1548
8090,IDN,KEBUN SWADAYA 2,KEBUN SWADAYA,No group,,99,801
8091,IDN,PT. PERKEBUNAN V AIR MOLEK,PT. PERKEBUNAN V AIR MOLEK,No group,,99,2258
8092,IDN,KEBUN SWADAYA 3,KEBUN SWADAYA,No group,,99,646
8093,IDN,KEBUN SWADAYA 4,KEBUN SWADAYA,No group,,99,1062
8094,IDN,KEBUN SWADAYA 5,KEBUN SWADAYA,No group,,99,8544
8095,IDN,KEBUN SWADAYA 6,KEBUN SWADAYA,No group,,99,5508
8096,IDN,PT. TRIBAKTI SARI MAS,PT. TRIBAKTI SARI MAS,Sarimas Group,,63,18773
8097,IDN,KEBUN SWADAYA 7,KEBUN SWADAYA,No group,,99,8347
8098,IDN,KEBUN SWADAYA 8,KEBUN SWADAYA,No group,,99,388
8099,IDN,KEBUN SWADAYA 9,KEBUN SWADAYA,No group,,99,626
8100,IDN,PT. PERMATA SAWIT PERMAI,PT. PERMATA SAWIT PERMAI,No group,,99,4395
8101,IDN,PT. SURYA BUANA BERSAMA,PT. SURYA BUANA BERSAMA,No group,,99,9083
8102,IDN,PT. BANYU BENING UTAMA,PT. BANYU BENING UTAMA,Duta Palma Group,,17,5471
8103,IDN,PT. INDRI PLANT,PT. INDRI PLANT,Salim Group,,60,1479
8104,IDN,KEBUN SWADAYA 10,KEBUN SWADAYA,No group,,99,7094
8105,IDN,KEBUN SWADAYA 11,KEBUN SWADAYA,No group,,99,2381
8106,IDN,KEBUN SWADAYA 12,KEBUN SWADAYA,No group,,99,2213
8107,IDN,PT. ARIAN MULTI KAWA 3,PT. ARIAN MULTI KAWA,No group,,99,6173
8108,IDN,PT. KHARISMA RIAU SENTOSA PRIMA 3,PT. KHARISMA RIAU SENTOSA PRIMA,No group,,99,5042
8109,IDN,PT. PERKEBUNAN V AIR MOLEK,PT. PERKEBUNAN V AIR MOLEK,No group,,99,3598
8110,IDN,KEBUN SWADAYA 13,KEBUN SWADAYA,No group,,99,1528
8112,IDN,PT. SRI ANUGRAH 1,PT. SRI ANUGRAH,Duta Palma Group,,17,1943
8113,IDN,PT. SRI ANUGRAH 2,PT. SRI ANUGRAH,Duta Palma Group,,17,1350
8114,IDN,PT. SRI ANUGRAH 3,PT. SRI ANUGRAH,Duta Palma Group,,17,2463
8115,IDN,PT. BERTUAH ANEKA YASA,PT. BERTUAH ANEKA YASA,Duta Palma Group,,17,9950
8116,IDN,PT. KHARISMA RIAU SENTOSA PRIMA 4,PT. KHARISMA RIAU SENTOSA PRIMA,No group,,99,936
8117,IDN,PT. BASKARASATRIATAMA RIAU 1,PT. BASKARASATRIATAMA RIAU,No group,,99,9334
8118,IDN,PT. BASKARASATRIATAMA RIAU 2,PT. BASKARASATRIATAMA RIAU,No group,,99,182
8119,IDN,PT. CITRA RIAU SARANA,PT. CITRA RIAU SARANA,Wilmar,,77,20337
8120,IDN,PT. SAFARI RIAU,PT. SAFARI RIAU,No group,,99,2124
